objt_id,polc_nm,plcstn_nm,polc_se,murder,brglr,rape,theft,violn,arson,nrctc,tmpt,gamble,tot,ctprvn_nm,sgg_kor_nm,ctprvn_cd,sgg_cd,x,y
1865,전북완주,경찰서,완주,1,1,6,1,2,1,10,5,3,1,전라북도,완주군,45,45710,14156200.246959,4290637.120963
1877,전북익산,경찰서,익산,1,2,5,3,1,1,1,10,10,3,전라북도,익산시,45,45140,14130905.867757,4294274.822081
1897,전북임실,경찰서,임실,1,1,10,1,1,1,1,1,1,1,전라북도,임실군,45,45750,14169639.287599,4247607.437619
1904,전북장수,경찰서,장수,10,1,10,5,1,1,1,9,1,3,전라북도,장수군,45,45740,14195082.984922,4252151.257248
1911,전북전주덕진,경찰서,전주덕진,4,2,8,3,1,1,1,6,6,2,전라북도,전주시 덕진구,45,45113,14147943.412047,4279061.012372
1,강원강릉,경찰서,강릉,5,1,3,1,1,1,1,8,3,1,강원도,강릉시,42,42150,14349835.161309,4546802.212292
9,강원고성,경찰서,고성,8,1,1,1,1,1,1,1,1,1,강원도,고성군,42,42820,14301937.763883,4632790.023301
14,강원동해,경찰서,동해,1,1,1,1,1,"1A2SM_CRMNLSTATS http://www.opengis.net/wfs http://116.67.75.155:8080/geoserver/schemas/wfs/1.0.0/WFS-basic.xsd"">unknown1361서울양천경찰서양천101111111041서울특별시양천구111147014122607.9479824511354.17320914122607.947982,4511354.1732091370서울영등포경찰서영등포2111115211서울특별시영등포구111156014126548.3125324512658.83373914126548.312532,4512658.8337391381서울용산경찰서용산5511111621서울특별시용산구111117014133987.856444514815.85014214133987.85644,4514815.8501421390서울은평경찰서은평1521111311서울특별시은평구111138014129630.1563444527079.90165114129630.156344,4527079.9016511396서울종로경찰서종로10321135661서울특별시종로구111111014135891.6526134519652.76284214135891.652613,4519652.7628421410서울종암경찰서종암1111111611서울특별시성북구111129014141176.8123834523382.3967314141176.812383,4523382.396731415서울중랑경찰서중랑23111111011서울특별시중랑구111126014146095.2525764523866.05647414146095.252576,4523866.0564741424서울중부경찰서중부11111110541서울특별시중구111114014136419.1552714517947.22127614136419.155271,4517947.2212761432서울혜화경찰서혜화1223111411서울특별시종로구111111014137456.4159264519121.59629814137456.415926,4519121.5962981441울산남부경찰서남부21211110711울산광역시남구313114014394749.7575694236936.45829914394749.757569,4236936.4582991448울산동부경찰서동부1642111211울산광역시동구313117014407969.3357854233211.45822914407969.335785,4233211.4582291455울산울주경찰서울주101010105101010108울산광역시울주군313171014387240.3200484241551.78148914387240.320048,4241551.7814891466울산중부경찰서중부5442111552울산광역시중구313111014399101.3770614241540.76791314399101.377061,4241540.7679131475인천강화경찰서강화51332161012인천광역시강화군282871014080430.5447144543854.84863414080430.544714,4543854.8486341489인천계양경찰서계양1111116211인천광역시계양구282824514108153.6069264514311.5837614108153.606926,4514311.583761495인천남동경찰서남동1111111411인천광역시남동구282820014104997.6816544500910.47093614104997.681654,4500910.4709361505인천남부경찰서남부1311111711인천광역시남구282817014098993.9558184501005.03580114098993.955818,4501005.0358011515인천부평경찰서부평1111111211인천광역시부평구282823714106304.3404864510167.65435214106304.340486,4510167.6543521522인천삼산경찰서삼산1111111111인천광역시부평구282823714107788.4875594510593.63400414107788.487559,4510593.6340041528인천서부경찰서서부1211111311인천광역시서구282826014101758.4270724515288.89706614101758.427072,4515288.8970661535인천연수경찰서연수1121111321인천광역시연수구282818514102044.0695464496486.65883914102044.069546,4496486.6588391540인천중부경찰서중부8855211514인천광역시중구282811014095079.1151354505222.70729214095079.115135,4505222.7072921556전남강진경찰서강진1171111611전라남도강진군464681014111743.8157394115378.44716714111743.815739,4115378.4471671564전남고흥경찰서고흥11101211742전라남도고흥군464677014169242.4464044111169.3002614169242.446404,4111169.300261577전남곡성경찰서곡성111012111101전라남도곡성군464672014170859.3333024202537.78686214170859.333302,4202537.7868621585전남광양경찰서광양14311110921전라남도광양시464623014204570.0846634158919.32658414204570.084663,4158919.3265841594전남구례경찰서구례110101111111전라남도구례군464673014189334.4088054192334.93404314189334.408805,4192334.9340431601전남나주경찰서나주1151111111전라남도나주시464617014106512.183664169129.86852514106512.18366,4169129.8685251612전남담양경찰서담양4171111111전라남도담양군464671014135680.1164154206053.87473314135680.116415,4206053.8747331619전남목포경찰서목포52412161042전라남도목포시464611014070817.66434138598.98373714070817.6643,4138598.9837371645전남무안경찰서무안1151211922전라남도무안군464684014079346.8602694162114.26947714079346.860269,4162114.2694771653전남보성경찰서보성101101311121전라남도보성군464678014146695.0969854132682.46613914146695.096985,4132682.4661391662전남순천경찰서순천146111110102전라남도순천시464615014191244.4565554160033.63973614191244.456555,4160033.6397361679전남여수경찰서여수10142111612전라남도여수시464613014220003.7957954128733.10174314220003.795795,4128733.1017431698전남영광경찰서영광1181111141전라남도영광군464687014083304.4908064201701.42305714083304.490806,4201701.4230571707전남영암경찰서영암11711110521전라남도영암군464683014104070.7185774136431.59569714104070.718577,4136431.5956971714전남완도경찰서완도11711111011전라남도완도군464689014107569.8073224074047.02809314107569.807322,4074047.0280931726전남장성경찰서장성11411111021전라남도장성군464688014113342.5403384204704.24894614113342.540338,4204704.2489461734전남장흥경찰서장흥1161111131전라남도장흥군464680014126199.5303114120330.66869714126199.530311,4120330.6686971742전남진도경찰서진도111021111031전라남도진도군464690014055422.7445614092861.98849414055422.744561,4092861.9884941750전남함평경찰서함평11101111141전라남도함평군464686014083627.8683614172766.05299114083627.868361,4172766.0529911758전남해남경찰서해남5151111811전라남도해남군464682014093853.1308744105037.06998814093853.130874,4105037.0699881771전남화순경찰서화순11411111011전라남도화순군464679014135882.0415114172358.02912614135882.041511,4172358.0291261780전북고창경찰서고창17411101121전라북도고창군454579014103641.1733974224035.06720814103641.173397,4224035.0672081790전북군산경찰서군산1109421101033전라북도군산시454513014107313.2318144298034.73710414107313.231814,4298034.7371041812전북김제경찰서김제11511111011전라북도김제시454521014126081.5933214272882.55058914126081.593321,4272882.5505891825전북남원경찰서남원1341121441전라북도남원시454519014179126.7221784220286.35446314179126.722178,4220286.3544631837전북무주경찰서무주1144111131전라북도무주군454573014212171.9131314301158.01927314212171.913131,4301158.0192731845전북부안경찰서부안17721111011전라북도부안군454580014106533.3920274263766.80172914106533.392027,4263766.8017291856전북순창경찰서순창111052111084전라북도순창군454577014152753.7967494215244.67376514152753.796749,4215244.6737651865전북완주경찰서완주11612110531전라북도완주군454571014156200.2469594290637.12096314156200.246959,4290637.1209631877전북익산경찰서익산125311110103전라북도익산시454514014130905.8677574294274.82208114130905.867757,4294274.8220811897전북임실경찰서임실11101111111전라북도임실군454575014169639.2875994247607.43761914169639.287599,4247607.4376191904전북장수경찰서장수101105111913전라북도장수군454574014195082.9849224252151.25724814195082.984922,4252151.2572481911전북전주덕진경찰서전주덕진4283111662전라북도전주시 덕진구454511314147943.4120474279061.01237214147943.412047,4279061.0123721강원강릉경찰서강릉5131111831강원도강릉시424215014349835.1613094546802.21229214349835.161309,4546802.2122929강원고성경찰서고성8111111111강원도고성군424282014301937.7638834632790.02330114301937.763883,4632790.02330114강원동해경찰서동해111111 /safemap:ARSON>11011강원도동해시424217014373182.2849434512546.206387",1,10,4,1,서울특별시,양천구,11,11470,14122607.947982,4511354.173209
1361,서울양천,경찰서,양천,10,1,1,1,1,1,1,10,4,1,서울특별시,양천구,11,11470,14122607.947982,4511354.173209
1370,서울영등포,경찰서,영등포,2,1,1,1,1,1,5,2,1,1,서울특별시,영등포구,11,11560,14126548.312532,4512658.833739
1381,서울용산,경찰서,용산,5,5,1,1,1,1,1,6,2,1,서울특별시,용산구,11,11170,14133987.85644,4514815.850142
1390,서울은평,경찰서,은평,1,5,2,1,1,1,1,3,1,1,서울특별시,은평구,11,11380,14129630.156344,4527079.901651
1396,서울종로,경찰서,종로,10,3,2,1,1,3,5,6,6,1,서울특별시,종로구,11,11110,14135891.652613,4519652.762842
1410,서울종암,경찰서,종암,1,1,1,1,1,1,1,6,1,1,서울특별시,성북구,11,11290,14141176.812383,4523382.39673
1415,서울중랑,경찰서,중랑,2,3,1,1,1,1,1,10,1,1,서울특별시,중랑구,11,11260,14146095.252576,4523866.056474
1424,서울중부,경찰서,중부,1,1,1,1,1,1,10,5,4,1,서울특별시,중구,11,11140,14136419.155271,4517947.221276
1432,서울혜화,경찰서,혜화,1,2,2,3,1,1,1,4,1,1,서울특별시,종로구,11,11110,14137456.415926,4519121.596298
1441,울산남부,경찰서,남부,2,1,2,1,1,1,10,7,1,1,울산광역시,남구,31,31140,14394749.757569,4236936.458299
1448,울산동부,경찰서,동부,1,6,4,2,1,1,1,2,1,1,울산광역시,동구,31,31170,14407969.335785,4233211.458229
1455,울산울주,경찰서,울주,10,10,10,10,5,10,10,10,10,8,울산광역시,울주군,31,31710,14387240.320048,4241551.781489
1466,울산중부,경찰서,중부,5,4,4,2,1,1,1,5,5,2,울산광역시,중구,31,31110,14399101.377061,4241540.767913
1475,인천강화,경찰서,강화,5,1,3,3,2,1,6,10,1,2,인천광역시,강화군,28,28710,14080430.544714,4543854.848634
1489,인천계양,경찰서,계양,1,1,1,1,1,1,6,2,1,1,인천광역시,계양구,28,28245,14108153.606926,4514311.58376
1495,인천남동,경찰서,남동,1,1,1,1,1,1,1,4,1,1,인천광역시,남동구,28,28200,14104997.681654,4500910.470936
1505,인천남부,경찰서,남부,1,3,1,1,1,1,1,7,1,1,인천광역시,남구,28,28170,14098993.955818,4501005.035801
1515,인천부평,경찰서,부평,1,1,1,1,1,1,1,2,1,1,인천광역시,부평구,28,28237,14106304.340486,4510167.654352
1522,인천삼산,경찰서,삼산,1,1,1,1,1,1,1,1,1,1,인천광역시,부평구,28,28237,14107788.487559,4510593.634004
1528,인천서부,경찰서,서부,1,2,1,1,1,1,1,3,1,1,인천광역시,서구,28,28260,14101758.427072,4515288.897066
1535,인천연수,경찰서,연수,1,1,2,1,1,1,1,3,2,1,인천광역시,연수구,28,28185,14102044.069546,4496486.658839
1540,인천중부,경찰서,중부,8,8,5,5,2,1,1,5,1,4,인천광역시,중구,28,28110,14095079.115135,4505222.707292
1556,전남강진,경찰서,강진,1,1,7,1,1,1,1,6,1,1,전라남도,강진군,46,46810,14111743.815739,4115378.447167
1564,전남고흥,경찰서,고흥,1,1,10,1,2,1,1,7,4,2,전라남도,고흥군,46,46770,14169242.446404,4111169.30026
1577,전남곡성,경찰서,곡성,1,1,10,1,2,1,1,1,10,1,전라남도,곡성군,46,46720,14170859.333302,4202537.786862
1585,전남광양,경찰서,광양,1,4,3,1,1,1,10,9,2,1,전라남도,광양시,46,46230,14204570.084663,4158919.326584
1594,전남구례,경찰서,구례,1,10,10,1,1,1,1,1,1,1,전라남도,구례군,46,46730,14189334.408805,4192334.934043
1601,전남나주,경찰서,나주,1,1,5,1,1,1,1,1,1,1,전라남도,나주시,46,46170,14106512.18366,4169129.868525
1612,전남담양,경찰서,담양,4,1,7,1,1,1,1,1,1,1,전라남도,담양군,46,46710,14135680.116415,4206053.874733
1619,전남목포,경찰서,목포,5,2,4,1,2,1,6,10,4,2,전라남도,목포시,46,46110,14070817.6643,4138598.983737
1645,전남무안,경찰서,무안,1,1,5,1,2,1,1,9,2,2,전라남도,무안군,46,46840,14079346.860269,4162114.269477
1653,전남보성,경찰서,보성,10,1,10,1,3,1,1,1,2,1,전라남도,보성군,46,46780,14146695.096985,4132682.466139
1662,전남순천,경찰서,순천,1,4,6,1,1,1,1,10,10,2,전라남도,순천시,46,46150,14191244.456555,4160033.639736
1679,전남여수,경찰서,여수,10,1,4,2,1,1,1,6,1,2,전라남도,여수시,46,46130,14220003.795795,4128733.101743
1698,전남영광,경찰서,영광,1,1,8,1,1,1,1,1,4,1,전라남도,영광군,46,46870,14083304.490806,4201701.423057
1707,전남영암,경찰서,영암,1,1,7,1,1,1,10,5,2,1,전라남도,영암군,46,46830,14104070.718577,4136431.595697
1714,전남완도,경찰서,완도,1,1,7,1,1,1,1,10,1,1,전라남도,완도군,46,46890,14107569.807322,4074047.028093
1726,전남장성,경찰서,장성,1,1,4,1,1,1,1,10,2,1,전라남도,장성군,46,46880,14113342.540338,4204704.248946
1734,전남장흥,경찰서,장흥,1,1,6,1,1,1,1,1,3,1,전라남도,장흥군,46,46800,14126199.530311,4120330.668697
1742,전남진도,경찰서,진도,1,1,10,2,1,1,1,10,3,1,전라남도,진도군,46,46900,14055422.744561,4092861.988494
1750,전남함평,경찰서,함평,1,1,10,1,1,1,1,1,4,1,전라남도,함평군,46,46860,14083627.868361,4172766.052991
1758,전남해남,경찰서,해남,5,1,5,1,1,1,1,8,1,1,전라남도,해남군,46,46820,14093853.130874,4105037.069988
1771,전남화순,경찰서,화순,1,1,4,1,1,1,1,10,1,1,전라남도,화순군,46,46790,14135882.041511,4172358.029126
1780,전북고창,경찰서,고창,1,7,4,1,1,10,1,1,2,1,전라북도,고창군,45,45790,14103641.173397,4224035.067208
1790,전북군산,경찰서,군산,1,10,9,4,2,1,10,10,3,3,전라북도,군산시,45,45130,14107313.231814,4298034.737104
1812,전북김제,경찰서,김제,1,1,5,1,1,1,1,10,1,1,전라북도,김제시,45,45210,14126081.593321,4272882.550589
1825,전북남원,경찰서,남원,1,3,4,1,1,2,1,4,4,1,전라북도,남원시,45,45190,14179126.722178,4220286.354463
1837,전북무주,경찰서,무
